응답자ID,ID,나이,성별,실내환경1,실내환경2,실내환경3,실내환경4,실내환경5,실내환경6,실내환경7,실내환경8,실외환경1,실외환경2,주변편의시설1,주변편의시설2,공동시설1,공동시설2,공동시설3,공동시설4,공동시설5,공동시설6,경제성1
a117,이연하숙,24,여,1,3,2,1,1,2,3,3,4,2,4,3,1,2,3,3,2,3,0
a118,비바힐하숙,22,여,1,3,3,3,2,2,3,3,3,3,4,4,2,1,2,2,2,3,0
a119,비바힐하숙,24,남,2,3,3,2,1,3,4,3,4,4,5,4,2,2,3,3,3,4,0
a120,비바힐하숙,20,남,2,4,4,3,2,2,3,4,3,4,4,3,3,2,2,2,3,3,0
a121,재혁이네 하숙집,22,여,3,3,4,3,3,3,4,4,3,4,3,4,3,3,2,3,4,3,0
a122,재혁이네 하숙집,22,여,3,3,4,4,2,4,5,4,4,4,4,3,2,2,3,3,3,4,0
a123,재혁이네 하숙집,21,여,2,4,3,3,3,3,4,3,4,3,4,4,3,3,3,3,3,3,0
a124,샬롬하숙,23,여,3,4,4,4,3,3,4,3,4,5,5,5,4,3,3,3,4,3,0
a125,샬롬하숙,22,여,2,3,3,4,4,4,3,3,5,4,4,4,3,2,3,4,3,2,0
a126,샬롬하숙,24,남,3,4,4,5,4,4,4,4,4,5,4,4,3,3,3,3,3,4,0
a127,동문하숙,21,여,2,4,3,3,3,2,3,4,4,3,3,5,3,2,3,3,4,3,0
a128,동문하숙,21,여,3,5,4,3,3,3,4,4,3,4,4,5,3,2,2,3,3,3,0
a129,동문하숙,23,여,3,4,4,4,2,4,4,3,4,4,4,4,2,1,2,2,4,4,0
a130,선이네 하숙,21,여,3,3,1,2,2,2,3,3,3,1,3,3,2,1,1,3,3,1,0
a131,선이네 하숙,24,여,2,2,2,2,1,3,4,4,4,2,4,4,1,1,2,2,2,1,0
a132,선이네 하숙,25,여,1,3,2,3,2,2,4,3,3,3,4,3,2,2,2,3,3,2,0
a133,꼭지네 하숙,22,여,3,3,1,2,2,2,3,4,4,3,4,4,3,2,2,3,3,3,0
a134,꼭지네 하숙,21,여,2,3,1,3,1,2,4,3,4,3,3,5,2,3,3,2,3,3,0
a135,꼭지네 하숙,31,남,3,3,2,3,2,3,3,4,3,4,4,4,3,3,2,3,4,4,0
a136,집밥하숙,23,남,2,2,3,3,1,2,3,3,3,3,3,4,3,1,3,2,3,3,0
a137,집밥하숙,22,여,1,3,2,3,1,3,3,3,2,3,4,5,2,3,3,2,2,4,0
a138,집밥하숙,21,여,2,3,3,2,2,2,2,4,3,2,3,4,2,2,2,1,2,3,0
a139,비가온,21,여,3,3,4,4,3,5,5,4,4,4,4,4,5,4,4,3,4,3,6.5
a140,비가온,23,여,2,4,5,4,3,4,4,4,5,3,3,3,4,3,3,3,4,3,6.5
a141,비가온,22,여,2,3,4,5,4,4,4,3,4,4,4,3,4,4,2,4,3,2,6.5
a142,공상가 연세1호점,26,남,3,3,4,4,4,4,4,4,4,4,4,3,4,5,4,4,5,4,6
a143,공상가 연세1호점,24,여,3,4,4,3,4,3,5,5,4,3,4,4,5,5,4,5,4,3,6
a144,공상가 연세1호점,22,여,2,4,3,3,3,4,4,4,3,3,3,4,4,4,3,4,4,3,6
a145,연희동 쉐어하우스1,21,여,3,4,5,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3,6
a146,연희동 쉐어하우스1,22,여,2,3,4,4,3,4,5,4,3,3,4,4,3,3,2,3,4,3,6
a147,연희동 쉐어하우스1,20,여,2,3,4,4,3,5,4,3,3,4,4,3,4,4,3,4,4,3,5
a148,사라바 쉐어하우스,21,여,4,3,5,4,4,4,4,3,2,3,5,5,4,3,3,4,4,3,6
a149,사라바 쉐어하우스,21,여,3,3,4,3,3,4,4,4,3,4,5,4,3,3,3,3,4,4,6
a150,사라바 쉐어하우스,22,여,3,4,4,4,3,3,4,3,3,3,4,4,4,4,4,3,3,2,6
a151,우정마샹스,23,여,2,3,3,4,3,3,4,3,4,2,4,4,3,3,4,4,3,4,0
a152,우정마샹스,22,남,3,4,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,0
a153,우정마샹스,21,여,3,4,3,3,4,3,4,3,4,4,5,4,4,3,4,4,4,3,0
a154,일반원룸,20,여,4,5,4,4,4,5,4,5,3,4,4,3,4,4,3,4,3,4,5
a155,일반원룸,24,남,5,5,4,5,4,4,4,4,4,3,4,4,4,3,4,3,4,4,5
a156,일반원룸,23,남,4,5,4,4,4,3,4,5,3,4,5,4,3,4,4,4,4,5,5
a157,스테이하이,21,여,3,4,3,4,4,3,4,4,4,4,3,4,4,3,4,3,4,4,0
a158,스테이하이,22,남,3,5,4,4,3,4,4,4,3,4,4,5,4,4,4,4,4,3,0
a159,스테이하이,24,여,3,5,4,4,3,3,3,3,4,3,3,4,3,4,3,3,3,3,0
a160,르메이에르타운1차,22,여,4,5,4,4,5,3,4,4,4,4,5,4,4,3,4,4,4,4,6
a161,르메이에르타운1차,22,남,5,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,4,5,6
a162,르메이에르타운1차,23,남,4,5,4,4,5,4,4,5,4,3,4,3,4,4,4,4,4,5,6
a163,배꽃원룸텔,21,여,3,3,2,3,4,3,3,3,3,3,3,3,2,3,3,4,3,3,0
a164,배꽃원룸텔,23,여,3,2,3,3,3,2,3,3,4,3,3,4,3,3,2,3,3,3,0
a165,배꽃원룸텔,23,여,2,3,3,3,3,3,4,3,4,3,3,3,3,2,2,3,2,3,0
a166,소호하우스,20,남,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,4,3,0
a167,소호하우스,23,여,4,4,3,4,3,4,4,4,4,5,4,4,3,4,4,3,4,4,0
a168,소호하우스,22,여,3,4,4,5,4,4,3,4,4,4,4,4,3,4,4,3,4,4,0
a169,오투레지던스,21,남,3,4,3,3,3,4,4,4,4,3,4,4,3,4,4,3,4,3,5
a170,오투레지던스,23,남,3,4,4,2,3,3,3,3,4,4,3,3,4,4,3,4,4,4,5
a171,오투레지던스,23,여,3,3,3,3,2,3,3,4,3,3,3,4,3,3,4,3,3,3,5
a172,서울고시원,24,남,3,2,3,3,2,3,3,3,4,3,4,5,3,3,3,4,3,4,3
a173,서울고시원,21,남,3,3,3,2,3,3,3,4,4,4,5,4,4,3,2,3,3,3,3
a174,서울고시원,22,여,2,3,3,3,2,3,2,3,3,3,4,4,4,3,3,4,3,3,3
a175,샘골리빙룸,21,여,2,3,2,3,3,3,2,3,3,2,4,4,3,3,3,3,4,3,0
a176,샘골리빙룸,22,여,2,3,3,2,3,3,3,3,2,3,4,3,3,3,2,3,3,3,0
a177,샘골리빙룸,20,남,3,2,3,3,3,3,3,4,3,3,3,4,3,2,3,3,2,2,0
a178,신촌고시원,21,남,2,3,3,2,3,3,4,3,3,3,4,4,3,2,3,3,3,2,0
a179,신촌고시원,24,여,2,3,3,2,2,3,3,2,4,3,4,4,3,3,3,3,3,3,0
a180,신촌고시원,23,여,3,3,3,2,3,3,3,2,3,3,3,4,3,3,3,2,2,3,0
a181,멀티하우스 연대점,25,남,3,4,3,4,4,4,3,4,4,3,5,4,4,3,4,4,4,3,0
a182,멀티하우스 연대점,22,여,4,4,4,3,4,4,3,4,3,4,4,5,4,4,3,3,4,3,0
a183,멀티하우스 연대점,20,여,3,3,4,3,4,3,4,3,4,4,5,4,3,3,3,3,4,4,0
a184,노블레지던스,21,여,4,3,4,4,4,3,4,3,4,3,5,5,4,3,4,4,4,3,4
a185,노블레지던스,23,여,4,4,5,4,3,4,4,4,3,4,4,5,3,4,3,3,3,3,4
a186,노블레지던스,24,남,4,4,4,3,3,4,4,3,4,4,5,3,4,3,3,4,3,4,4
a187,유니하우스,20,여,3,4,4,3,4,4,4,4,3,4,5,4,4,3,4,4,4,3,0
a188,유니하우스,24,남,4,3,4,4,4,4,4,3,3,4,5,5,4,4,4,3,3,4,0
a189,유니하우스,22,여,4,4,3,4,3,3,3,3,2,3,4,4,3,3,3,2,3,2,0
a190,이지리빙텔,21,남,3,3,3,4,2,2,3,2,3,3,4,4,3,2,3,3,2,2,0
a191,이지리빙텔,24,남,3,3,2,3,3,3,3,3,2,3,4,3,3,3,3,2,3,2,0
a192,이지리빙텔,23,여,2,3,2,3,3,2,2,3,3,3,3,3,3,3,2,3,2,3,0
a193,신촌웰빙고시텔,22,여,2,2,3,2,2,3,3,2,4,3,4,5,3,3,2,3,3,3,0
a194,신촌웰빙고시텔,21,남,2,3,2,2,3,3,3,3,3,4,4,4,3,3,3,3,2,3,0
a195,신촌웰빙고시텔,25,여,3,3,2,3,3,2,2,2,3,2,3,4,2,2,3,2,3,3,0
a196,캔빌고시원,24,여,3,2,2,3,3,2,3,2,4,3,4,4,3,3,2,3,3,2,0
a197,캔빌고시원,21,여,3,3,2,3,3,3,2,2,4,4,4,4,3,3,3,2,2,3,0
a198,캔빌고시원,20,남,3,2,3,2,2,3,3,3,3,4,3,3,3,3,2,3,3,3,0
a199,다솔베르크원룸텔,20,여,3,3,2,3,3,3,2,3,4,3,5,4,3,3,3,2,3,3,0
a200,다솔베르크원룸텔,23,여,4,3,3,4,3,3,3,3,3,4,4,4,3,3,2,3,3,3,0
a201,다솔베르크원룸텔,21,남,3,4,3,4,4,3,3,3,4,4,5,4,4,3,3,3,2,2,0
